id,activity,stability,length,charge,hydrophobicity,nonlinear_response,measurement,group,source,batch,phenotype,flag,recorded_at,annotation
obs_000,1.5024098049378807,1.694580549771913,49.689183038215205,1.294882281387892,0.3976411655127265,0.21820211764858954,0.39252738253810754,B,S2,B05,low,False,2026-01-01 00:00:00,sample_0
obs_001,1.732066434083993,2.719341940424191,49.848849642790086,1.4201805999034027,0.5830219931132294,1.40218164425001,0.554546675404225,B,S1,B11,mid,False,2026-01-01 12:00:00,sample_1
obs_002,1.4391151486656857,2.7711452172114104,53.11208581366857,0.7219187656992786,0.4244339258644451,0.6734002174446063,0.38044466992388515,A,S1,B00,low,False,2026-01-02 00:00:00,sample_2
obs_003,0.730992648797014,3.3334361784777413,41.979713990868305,-1.2422248717035036,0.34751987712524746,0.8543631070252757,-0.057322409037375954,A,S2,B05,low,False,2026-01-02 12:00:00,sample_3
obs_004,1.2603233856803564,1.0985779602083294,38.501483269229574,1.1624135318197582,0.5661197088337163,1.7547848193439273,-0.1375560487272084,C,S1,B11,low,False,2026-01-03 00:00:00,sample_4
obs_005,2.7871496023540043,2.9304942401524485,57.11722386804428,0.03933576391851856,,-0.5500287555190564,0.22930482223449244,B,S1,B03,mid,True,2026-01-03 12:00:00,sample_5
obs_006,2.309425528738377,2.4072773460107815,48.72022111638711,-0.027382805983553804,0.46439332467574773,-0.5349142450827563,1.3245311812201668,B,S1,B10,mid,True,2026-01-04 00:00:00,sample_6
obs_007,1.1598810394063384,3.5174641759492404,49.52854910793939,-0.9427330969040022,0.48085728361320795,0.8365131884096517,-0.5585695207067013,A,S1,B08,low,False,2026-01-04 12:00:00,sample_7
obs_008,2.1167821755406164,3.2318976446371055,67.1886092522603,-1.627201257930487,0.3956918851183172,1.8509635529317483,0.4908505533702055,A,S2,B09,mid,False,2026-01-05 00:00:00,sample_8
obs_009,-0.5814882448522241,1.87829536637626,25.44478955207621,-1.7385182203626885,0.49387667794746537,2.3575122227387015,inf,A,S1,B05,low,False,2026-01-05 12:00:00,sample_0
obs_010,1.053885402352051,2.8901506686499245,60.75804306668983,-2.2177997386512662,0.3801690065091381,4.181144662270685,0.2904405694948604,A,S1,B09,low,False,2026-01-06 00:00:00,sample_1
obs_011,1.2098009059181525,2.9142342578888134,55.25567731784633,-0.5939643017832819,0.5765395182366486,0.39885761152963656,0.030667259210462407,A,S1,B02,low,False,2026-01-06 12:00:00,sample_2
obs_012,2.251202203888126,2.606819726529292,57.865429949473125,-0.5213680214988355,0.6474713712559741,-0.44013935767872914,-0.08810089266667043,B,S2,B07,mid,True,2026-01-07 00:00:00,sample_3
obs_013,1.6629690299866864,2.451404107620681,52.562119179503995,1.0638751462048506,0.3004490179227357,1.5785912580072672,0.11613717184005973,A,S1,B02,low,False,2026-01-07 12:00:00,sample_4
obs_014,0.9494072301895862,2.822363171355679,40.159960518306434,-1.3940665182538714,0.26420981385763764,1.6058743098348907,-0.20014943821367143,A,S1,B10,low,False,2026-01-08 00:00:00,sample_5
obs_015,2.83666429711043,2.59869305893893,62.223379649966624,-1.2219566510953954,0.5104166077335793,0.7981088968693857,1.4931625531601793,B,S1,B00,mid,True,2026-01-08 12:00:00,sample_6
